id;tenant_id;name;tax_id;client_type;credit_limit;credit_used;payment_terms_days;status;last_order_at;is_deleted;created_at;updated_at
1;40097;calculate;Kuwait;INDEPENDENT_POS;13728;83931;30839;ACTIVE;2026-03-03T18:00:30;true;2026-03-03T19:48:03;2026-03-03T15:05:55
2;97092;compressing array;envisioneer;TELECOM_OPERATOR;99207;38679;59415;INACTIVE;2026-03-03T17:56:02;true;2026-03-04T04:13:10;2026-03-04T09:31:01
3;43800;capacitor hard;iterate;TELECOM_OPERATOR;78566;48522;2463;SUSPENDED;2026-03-03T14:27:54;true;2026-03-04T03:18:45;2026-03-03T23:27:51
4;44787;Account superstructure Security;Maine Legacy e-markets;TELECOM_OPERATOR;14671;22390;13573;ACTIVE;2026-03-03T23:48:11;true;2026-03-04T07:55:31;2026-03-03T16:54:06
5;69585;Savings grey connect;Licensed;NATIONAL_DISTRIBUTOR;10334;75158;44397;ACTIVE;2026-03-03T17:29:03;false;2026-03-03T11:58:17;2026-03-03T19:54:02
6;22293;Branding Response;Plastic;REGIONAL_WHOLESALER;29350;78590;55479;ACTIVE;2026-03-04T09:34:55;false;2026-03-03T11:26:14;2026-03-03T22:55:10
7;92827;Bike payment Borders;neural Product Avon;REGIONAL_WHOLESALER;10948;568;20691;SUSPENDED;2026-03-04T08:54:24;true;2026-03-04T09:03:23;2026-03-04T07:02:10
8;35588;Ball client-driven;distributed Avon reboot;INDEPENDENT_POS;64016;49824;98346;ACTIVE;2026-03-04T06:11:51;false;2026-03-03T12:52:54;2026-03-03T10:27:14
9;34446;SCSI Executive invoice;Nauru;INDEPENDENT_POS;93428;65651;17188;ACTIVE;2026-03-03T19:12:15;false;2026-03-04T07:24:08;2026-03-04T08:46:28
10;71452;Cambridgeshire Berkshire SQL;optical;REGIONAL_WHOLESALER;72489;34304;35544;INACTIVE;2026-03-03T23:39:41;true;2026-03-03T12:01:17;2026-03-04T00:03:27
