id;tenant_id;delivery_number;status;tracking_number;shipped_at;delivered_at;confirmed_at;notes;created_at;order_id
1;61666;Fantastic;IN_PREPARATION;neural Serbia;2026-03-04T00:30:18;2026-03-03T17:02:32;2026-03-03T22:11:14;reboot Nigeria Hawaii;2026-03-04T03:42:09;1
2;2627;Interactions Multi-layered;FAILED;grey;2026-03-04T09:39:37;2026-03-03T22:48:59;2026-03-03T12:45:16;connecting Borders Reverse-engineered;2026-03-03T13:26:28;2
3;90255;Fantastic fresh-thinking Kansas;DELIVERED;Cotton Interface;2026-03-03T19:30:32;2026-03-03T11:14:03;2026-03-04T03:14:28;morph Towels Granite;2026-03-04T08:12:07;3
4;77741;directional Indian;PENDING;Account compress;2026-03-03T23:21:23;2026-03-04T02:23:23;2026-03-03T15:18:18;Practical;2026-03-04T01:29:02;4
5;92500;Corner;FAILED;Massachusetts generate;2026-03-04T05:51:22;2026-03-03T21:41:19;2026-03-04T08:43:40;drive Garden;2026-03-04T05:53:02;5
6;15480;Towels withdrawal maroon;DELIVERED;Developer;2026-03-03T20:18:32;2026-03-03T11:30:03;2026-03-04T06:23:24;Refined Soft;2026-03-03T22:32:03;6
7;15145;killer Movies magenta;SHIPPED;invoice;2026-03-03T21:35:50;2026-03-03T11:54:32;2026-03-04T03:10:13;Refined;2026-03-03T10:22:45;7
8;36098;Kids plum;FAILED;system Concrete Steel;2026-03-03T14:54:24;2026-03-04T00:06:11;2026-03-03T14:24:54;Ball;2026-03-03T23:06:53;8
9;37827;violet;DELIVERED;budgetary Account;2026-03-03T20:33:14;2026-03-03T12:58:52;2026-03-03T15:33:06;Samoa Designer;2026-03-03T13:43:59;9
10;774;customized;DELIVERED;Loan Central;2026-03-03T10:38:40;2026-03-03T09:57:32;2026-03-03T11:34:52;Gorgeous bypass District;2026-03-04T00:15:48;10
