id;tenant_id;invoice_number;amount_ht;tax_amount;amount_ttc;status;issue_date;due_date;paid_at;is_deleted;created_at;updated_at;client_id;order_id
1;65218;RAM systemic;15184;45005;46751;DRAFT;2026-03-03T12:19:39;2026-03-03T11:06:29;2026-03-03T20:19:37;false;2026-03-04T04:41:47;2026-03-03T14:09:33;1;1
2;74773;model Australia;75071;94375;58419;OVERDUE;2026-03-03T13:41:15;2026-03-04T07:13:34;2026-03-03T12:29:09;false;2026-03-03T17:29:58;2026-03-03T11:29:51;2;2
3;13729;online Soft Central;17323;59835;60360;DRAFT;2026-03-04T02:06:36;2026-03-04T09:17:04;2026-03-03T17:25:16;false;2026-03-04T04:49:05;2026-03-03T16:33:38;3;3
4;73808;PNGXX;97683;25244;36763;DRAFT;2026-03-03T23:47:58;2026-03-03T10:51:36;2026-03-03T22:54:40;false;2026-03-03T16:52:54;2026-03-03T10:22:08;4;4
5;80874;Account;74564;84021;83962;OVERDUE;2026-03-03T12:47:16;2026-03-03T21:18:03;2026-03-03T15:18:04;true;2026-03-04T01:12:55;2026-03-04T05:52:36;5;5
6;32340;visualize Dynamic iterate;2286;13945;85471;DRAFT;2026-03-03T09:50:45;2026-03-04T01:36:32;2026-03-04T04:47:45;false;2026-03-04T07:11:01;2026-03-03T19:43:52;6;6
7;36904;Function-based Cotton Lead;45702;99442;49531;OVERDUE;2026-03-03T10:00:07;2026-03-03T12:23:14;2026-03-03T13:09:02;false;2026-03-03T15:00:47;2026-03-04T08:40:55;7;7
8;55646;Groves Chips transmitting;53788;39958;66616;ISSUED;2026-03-03T14:41:25;2026-03-04T09:29:28;2026-03-04T05:20:38;true;2026-03-03T14:19:42;2026-03-03T14:10:31;8;8
9;7073;transitional;2028;55962;11771;PARTIALLY_PAID;2026-03-03T18:49:23;2026-03-03T15:14:37;2026-03-04T08:31:16;false;2026-03-03T19:50:03;2026-03-04T01:33:47;9;9
10;96191;Intuitive applications;10756;70805;58730;DRAFT;2026-03-04T08:28:58;2026-03-03T19:47:12;2026-03-03T12:23:56;true;2026-03-03T16:32:47;2026-03-03T23:29:24;10;10
