id;tenant_id;order_number;status;subtotal;discount_amount;tax_amount;total_amount;payment_terms_days;due_date;rejection_reason;submitted_at;validated_at;is_deleted;created_at;updated_at;client_id
1;48469;monitor;REJECTED;76865;66933;34818;96959;63528;2026-03-03T17:17:08;Marks salmon;2026-03-03T11:36:47;2026-03-03T15:15:09;false;2026-03-03T21:43:35;2026-03-03T23:05:53;1
2;39702;online Auto;SUBMITTED;87953;61371;36148;67206;1403;2026-03-03T12:52:06;Investment synergize;2026-03-03T12:13:23;2026-03-03T16:03:41;true;2026-03-03T19:00:32;2026-03-03T22:19:24;2
3;55341;Creek hack Path;CANCELLED;54519;29068;66445;7374;3657;2026-03-03T14:27:06;Cotton olive Response;2026-03-03T19:33:07;2026-03-03T13:13:55;false;2026-03-03T20:07:46;2026-03-03T22:56:05;3
4;30351;client-server hub;APPROVED;90448;36873;4902;93769;7768;2026-03-03T22:47:08;impactful protocol programming;2026-03-03T21:53:50;2026-03-03T12:53:20;false;2026-03-04T05:57:08;2026-03-03T23:25:03;4
5;18190;Account wireless;DELIVERED;1194;17360;87462;1136;41714;2026-03-03T20:15:55;Uruguay virtual Granite;2026-03-03T17:53:58;2026-03-03T17:38:36;false;2026-03-03T11:42:09;2026-03-03T14:02:43;5
6;63016;Internal Wooden Fish;APPROVED;88388;41634;16690;27031;59584;2026-03-03T10:08:40;hacking;2026-03-03T13:14:06;2026-03-04T05:55:32;true;2026-03-04T07:28:44;2026-03-04T07:37:14;6
7;95105;Computer;APPROVED;98677;47805;31861;77003;28134;2026-03-04T04:59:52;Denar;2026-03-03T18:48:31;2026-03-04T03:20:49;true;2026-03-04T06:11:14;2026-03-04T05:02:24;7
8;77345;Strategist;UNDER_REVIEW;63683;69634;92559;65401;56270;2026-03-03T12:57:40;bypassing;2026-03-03T21:42:12;2026-03-03T10:31:51;true;2026-03-03T17:22:50;2026-03-03T21:19:21;8
9;57092;Licensed niches;APPROVED;83942;93467;61390;26667;29553;2026-03-04T09:23:08;Avon;2026-03-03T10:33:09;2026-03-03T10:37:00;false;2026-03-03T17:55:51;2026-03-03T20:22:12;9
10;64659;local SCSI Division;INVOICED;15797;17092;43287;21293;13624;2026-03-03T20:21:42;intermediate Account;2026-03-04T03:12:22;2026-03-04T08:03:23;true;2026-03-03T20:29:18;2026-03-03T22:29:44;10
