id;tenant_id;assigned_to_login;title;description;mission_date;status;created_at;updated_at
1;56535;RSS innovative;gold COM bypass;Italy actuating Legacy;2026-03-03T16:42:20;PLANNED;2026-03-03T20:12:24;2026-03-03T15:58:24
2;31842;Ouguiya;withdrawal;secondary;2026-03-04T05:33:17;IN_PROGRESS;2026-03-03T12:39:10;2026-03-04T08:40:42
3;75053;synthesize;Baby expedite Awesome;SDD web-enabled;2026-03-04T08:42:45;PLANNED;2026-03-03T22:34:14;2026-03-03T23:17:01
4;52739;function;transmitting;Movies secondary Designer;2026-03-04T09:38:13;IN_PROGRESS;2026-03-04T02:34:34;2026-03-04T08:50:53
5;5785;synthesizing;Uruguay maroon;end-to-end Kentucky Land;2026-03-04T07:00:57;IN_PROGRESS;2026-03-03T20:54:42;2026-03-04T04:11:11
6;72293;Plastic;Sleek Sleek;Paradigm Berkshire;2026-03-03T11:27:49;IN_PROGRESS;2026-03-03T12:36:18;2026-03-03T13:33:53
7;19919;digital;Industrial;gold;2026-03-04T01:04:21;CANCELLED;2026-03-03T11:36:43;2026-03-04T02:37:28
8;61187;Nepal;programming Director Fantastic;customized;2026-03-03T11:45:48;CANCELLED;2026-03-03T20:49:39;2026-03-03T22:30:27
9;65375;redundant Account seize;Hampshire;Franc payment invoice;2026-03-03T19:07:21;COMPLETED;2026-03-04T06:14:42;2026-03-03T21:49:41
10;49092;Borders utilisation;infrastructures Peso interactive;program navigate redundant;2026-03-03T21:52:59;IN_PROGRESS;2026-03-04T07:31:09;2026-03-04T08:43:02
