id;quantity;unit_price;discount_pct;line_total;created_at;product_id;order_id
1;19691;9773;29;25110;2026-03-04T06:18:58;1;1
2;51476;91585;26;3638;2026-03-03T13:41:50;2;2
3;5381;28352;56;54281;2026-03-04T04:39:41;3;3
4;30232;69536;93;25103;2026-03-04T08:51:20;4;4
5;9349;69176;48;84491;2026-03-04T02:08:43;5;5
6;83653;59069;74;20778;2026-03-03T21:11:44;6;6
7;54158;88136;46;33464;2026-03-04T08:34:24;7;7
8;9132;10930;35;73384;2026-03-03T19:46:40;8;8
9;94490;91204;66;1229;2026-03-03T21:57:57;9;9
10;25687;54014;50;92134;2026-03-03T12:39:17;10;10
