id;unit_price;max_discount_pct;valid_from;valid_to;is_active;created_at;product_id;client_id
1;38897;94;2026-03-04T04:00:09;2026-03-03T17:41:50;true;2026-03-04T01:45:50;1;1
2;16517;56;2026-03-03T15:17:35;2026-03-03T09:53:16;false;2026-03-03T14:16:30;2;2
3;25619;21;2026-03-03T14:07:34;2026-03-03T20:49:05;false;2026-03-03T14:21:36;3;3
4;67961;27;2026-03-04T05:28:43;2026-03-03T18:47:43;true;2026-03-04T04:22:52;4;4
5;25892;69;2026-03-04T03:35:00;2026-03-03T12:41:07;false;2026-03-03T22:25:25;5;5
6;41124;70;2026-03-04T07:56:11;2026-03-04T03:48:55;true;2026-03-03T17:28:04;6;6
7;58379;82;2026-03-03T20:22:12;2026-03-03T16:24:05;false;2026-03-03T17:57:02;7;7
8;71456;45;2026-03-04T01:18:39;2026-03-03T16:42:30;false;2026-03-04T06:44:46;8;8
9;4338;8;2026-03-04T04:47:26;2026-03-03T17:52:54;true;2026-03-04T04:39:51;9;9
10;50505;45;2026-03-04T01:58:30;2026-03-04T01:58:49;true;2026-03-04T05:42:05;10;10
