id;visit_order;objective;status;latitude;longitude;checkin_at;checkout_at;notes;created_at;client_id;mission_id
1;1885;SUPPORT;IN_PROGRESS;13793;10974;2026-03-04T04:37:04;2026-03-03T21:30:24;reboot drive Down-sized;2026-03-04T06:15:26;1;1
2;63342;AUDIT;CANCELLED;73078;94180;2026-03-04T05:47:51;2026-03-04T02:28:44;Senior program;2026-03-03T23:16:03;2;2
3;14030;SALE;PLANNED;67374;5147;2026-03-04T02:28:12;2026-03-04T06:36:53;Directives;2026-03-03T22:17:53;3;3
4;72082;AUDIT;CANCELLED;78838;16046;2026-03-04T02:26:27;2026-03-03T21:24:31;global;2026-03-03T20:59:19;4;4
5;78308;COLLECTION;PLANNED;53537;32161;2026-03-04T03:37:03;2026-03-03T10:06:27;yellow Reduced;2026-03-04T03:10:16;5;5
6;58664;SALE;IN_PROGRESS;25358;18495;2026-03-04T00:52:52;2026-03-04T07:34:21;24/7 Technician;2026-03-03T10:04:45;6;6
7;84827;PROSPECTING;CANCELLED;54611;7260;2026-03-04T00:07:45;2026-03-04T09:06:48;metrics Outdoors;2026-03-03T17:16:43;7;7
8;67727;SUPPORT;CANCELLED;5419;12805;2026-03-04T07:29:18;2026-03-03T22:59:04;Optimization communities Hat;2026-03-04T02:52:49;8;8
9;4693;PROSPECTING;MISSED;90995;92118;2026-03-03T17:20:28;2026-03-04T06:20:46;redundant digital;2026-03-04T03:51:05;9;9
10;36492;COLLECTION;COMPLETED;1009;74090;2026-03-03T23:45:12;2026-03-04T02:33:43;Soft Ergonomic Web;2026-03-03T21:19:32;10;10
